id,name_en,name_sanskrit,food_group,calories_per_100g,protein_g,carbs_g,fat_g,fiber_g,vitamins,minerals,rasa,virya,vipaka,guna,dosha_effect,seasonal_suitability,digestion_level,region_common,contraindications,suggested_combinations,therapeutic_uses,recommended_portion
2258,Freshwater Mackerel,Jala,Fish,182.1983974617939,21.66343674221849,0.0,14.836739575683296,1.2295090295583513,"C,B3,B1,K","Copper,Phosphorus",Kashaya,Shita,Amla,"Manda,Ruksha","Reduces Vata,Aggravates Vata,Balances Kapha","All,Spring",Guru,"Himalayan,Coastal",,"Cardamom + Tea,Cinnamon + Milk,Coriander + Coconut","Weight management,Digestive aid",1 fillet
2259,White Millet,White Godhuma,Grain,378.87127445988534,8.996985288531896,70.22747138597131,6.945493570312367,3.8027900541071253,"A,E,B1","Manganese,Zinc","Amla,Tikta",Ushna,Amla,"Ruksha,Teekshna",Reduces Kapha,Summer,Guru,"West India,Pan-India",Heart disease,"Fennel + Mint,Turmeric + Milk",Immunity enhancer,1 cup cooked
2260,Free-range Pork,Free-range Mamsa,Meat,209.4175270931895,24.559071788547516,0.0,17.417628808408686,1.933913763233603,"C,B6",,Amla,Ushna,Katu,"Manda,Teekshna","Reduces Pitta,Balances Pitta","Winter,Spring",Laghu,"Himalayan,North India","High cholesterol,Heart disease","Turmeric + Milk,Fennel + Mint","Cooling agent,Stress relief",100g
2261,Extra Virgin Oil,Taila,Oil,911.7196553606549,0.06932535222026925,4.245044357403799,103.15910908816149,1.551515794003163,B1,"Zinc,Calcium,Selenium",Tikta,Ushna,Amla,Manda,Reduces Pitta,"All,Monsoon",Guru,"Himalayan,South India","High cholesterol,Fever,Kapha imbalance,Obesity","Turmeric + Milk,Cloves + Tea",Liver support,5ml
2262,Whole Extract,Whole Kalka,Spice,306.63660202542354,12.283029664654178,67.80090328857912,7.696021258692858,25.073685501875953,"C,K,B3,A",,Madhura,Ushna,Madhura,"Ruksha,Guru",Balances Pitta,Autumn,Laghu,North India,"Ulcer,Acidity,Pitta imbalance",Ginger + Honey,"Weight management,Energy booster,Joint health",1 tsp
2263,Green Chickpeas,Green Mudga,Legume,164.51422625682284,8.694213595077255,22.768837827596883,4.839306880298269,7.251078322116026,"A,K",Potassium,"Amla,Kashaya,Madhura",Shita,Katu,"Manda,Snigdha","Balances Kapha,Reduces Kapha","Monsoon,Spring",Laghu,"Coastal,Pan-India","Bloating,Gas,Vata imbalance","Cardamom + Tea,Ginger + Honey","Constipation,Digestive aid,Stress relief",1/2 cup cooked
2264,Bitter Berry,Bitter Falasava,Fruit,23.407720558606364,0.0,22.601748951312544,0.07029185415877787,1.8775992567252873,A,"Phosphorus,Calcium,Magnesium",Katu,Ushna,Madhura,Snigdha,"Reduces Pitta,Balances Pitta","Autumn,Summer",Guru,"North India,East India",Infection,"Ginger + Honey,Cardamom + Tea,Cumin + Rice","Stress relief,Energy booster",1 medium
2265,Free-range Beef,Free-range Mamsa,Meat,255.04961929249026,26.83847883479515,0.0,18.687110001430284,1.3999199729440859,"B3,A,B1,E",,"Amla,Kashaya,Katu",Ushna,Madhura,Ruksha,Balances Vata,Spring,Laghu,"Himalayan,East India","High cholesterol,Underweight,Heart disease",Cardamom + Tea,Cooling agent,1 fillet
2266,Organic Nuts,Organic Phala,Nut,606.4715284263476,21.35223195468925,12.347807096996595,51.721611887784285,9.71998213353803,"B12,B1,B6,B2",Manganese,Lavana,Ushna,Amla,"Manda,Ruksha",Aggravates Vata,"Spring,All",Guru,East India,,"Cloves + Tea,Black pepper + Turmeric,Ginger + Honey","Joint health,Stress relief",30g
2267,Organic Ghee,Ghrita,Oil,927.4198344887244,1.1842563120195444,7.215251611347366,99.69265176343329,1.3735897139985016,,,"Katu,Tikta,Madhura",Ushna,Madhura,Snigdha,Balances Vata,"All,Autumn",Laghu,"Himalayan,Pan-India","High cholesterol,Kapha imbalance,Obesity",Cumin + Rice,"Anemia,Digestive aid,Skin health",1 tbsp
2268,White Quinoa,White Godhuma,Grain,331.1835597545152,9.519430063996635,80.96323651896937,3.4975467198657704,2.781070699413887,"B3,C","Iron,Manganese,Zinc,Calcium,Selenium","Madhura,Tikta,Kashaya",Ushna,Amla,Snigdha,Aggravates Pitta,Summer,Laghu,Pan-India,,"Black pepper + Turmeric,Cumin + Rice,Ginger + Honey","Constipation,Skin health,Energy booster",100g
2269,Red Chickpeas,Red Mudga,Legume,166.37013146146938,10.335696662818375,18.110094442672732,4.089961668605155,8.669128419803489,,Calcium,"Lavana,Madhura",Shita,Amla,"Laghu,Manda","Aggravates Kapha,Aggravates Vata","All,Summer",Guru,"Himalayan,North India","Underweight,Vata imbalance,Gas,Bloating,Diabetes",Coriander + Coconut,Cooling agent,1/2 cup cooked
2270,Crystallized Sugar,Sharkara,Sweetener,387.34069242028283,1.0600732012309328,103.28716927130279,0.0,0.0,,,"Lavana,Tikta,Kashaya",Shita,Katu,"Manda,Laghu","Aggravates Kapha,Reduces Kapha,Aggravates Pitta",Summer,Laghu,Himalayan,"Diabetes,Obesity,Kapha imbalance","Ginger + Honey,Coriander + Coconut","Digestive aid,Skin health,Liver support",1 cube
2271,Farm Fresh Yogurt,Farm Dadhi,Dairy,10.560162054986321,2.888193444075427,13.972595422482787,5.535918924791359,0.0,"D,B1",,"Kashaya,Madhura,Amla",Shita,Amla,Ruksha,Reduces Kapha,"Autumn,Winter",Laghu,North India,"Lactose intolerance,Kapha imbalance",Cloves + Tea,Stress relief,1 glass
2272,Green Lentils,Green Mudga,Legume,106.92250805402165,10.907887719675387,23.04364118223628,4.238853377891267,7.5923280715597015,"C,B12,A,B6",Manganese,"Tikta,Amla,Katu",Shita,Katu,"Guru,Snigdha","Reduces Pitta,Aggravates Pitta,Reduces Kapha",Monsoon,Guru,Himalayan,"Bloating,Gas,Vata imbalance","Cinnamon + Milk,Cloves + Tea","Digestive aid,Joint health",1 bowl
2273,Organic Sugar,Sharkara,Sweetener,358.5038608698015,1.338611703373688,91.6668371020843,0.48558273422265175,0.4355520141940874,"C,B1,B2",Copper,Lavana,Ushna,Katu,"Laghu,Manda","Aggravates Kapha,Reduces Vata",All,Guru,"West India,North India","Diabetes,Obesity,Kapha imbalance","Cardamom + Tea,Turmeric + Milk,Cloves + Tea",Skin health,1 cube
2274,Creamy Yogurt,Creamy Ksheera,Dairy,16.322081510312046,2.6805961594198027,8.223518329729686,7.528562557674164,0.11749234465148184,"B12,C,A","Phosphorus,Calcium,Magnesium,Zinc","Lavana,Madhura,Tikta",Shita,Amla,Ruksha,Balances Kapha,"Autumn,Monsoon",Guru,"Himalayan,Pan-India","Lactose intolerance,Kapha imbalance","Cinnamon + Milk,Milk + Ghee",Liver support,2 tbsp
2275,Grass-fed Turkey,Grass-fed Charma,Meat,233.1545784559582,25.010280595618802,0.0,17.319337716914873,1.6456981442845273,B6,"Phosphorus,Manganese,Selenium,Sodium,Calcium",Madhura,Ushna,Katu,"Teekshna,Ruksha","Reduces Pitta,Balances Pitta,Balances Kapha",All,Guru,Pan-India,"High cholesterol,Heart disease",Coriander + Coconut,"Joint health,Skin health,Energy booster",1 fillet
2276,Creamy Yogurt,Creamy Ksheera,Dairy,12.241511552836087,3.333639955176027,3.371469072395474,3.894704904960766,0.0,,Manganese,"Katu,Amla",Ushna,Amla,Ruksha,Aggravates Vata,Summer,Guru,North India,"Lactose intolerance,Kapha imbalance","Ginger + Honey,Cumin + Rice",Skin health,100ml
2277,Fresh Root,Fresh Shaka,Vegetable,46.02183400834873,0.9810166096069174,13.588975621134868,1.4001046967498283,2.7220364863665285,"B2,B3,K,B1","Manganese,Phosphorus,Potassium","Amla,Madhura,Lavana",Ushna,Amla,"Ruksha,Manda",Reduces Pitta,"All,Autumn",Laghu,Himalayan,,Ginger + Honey,"Stress relief,Anemia,Skin health",1 bowl
2278,Baby Fruit,Baby Mula,Vegetable,56.90239750194128,1.6709295097667027,13.97802567772342,0.0,3.4490978220435995,"B3,C,D,E","Phosphorus,Iron,Zinc","Tikta,Amla",Shita,Madhura,Teekshna,"Reduces Pitta,Balances Vata",Spring,Guru,"South India,Coastal",Hypertension,Coriander + Coconut,"Joint health,Respiratory health,Liver support",1 cup
2279,Seawater Tuna,Jala,Fish,181.15190549795295,23.577130612580213,6.105042569298295,11.619236683002482,1.1654094643523192,,"Manganese,Calcium",Kashaya,Shita,Katu,"Ruksha,Manda","Balances Kapha,Aggravates Vata","All,Summer",Guru,"West India,East India",,Ginger + Honey,Cooling agent,1 piece
2280,Brown Millet,Brown Shali,Grain,340.5554839768941,7.80214408237934,68.20636138398375,2.993404551570519,3.4843770552399285,"C,B12","Potassium,Selenium,Copper,Phosphorus,Calcium",Katu,Shita,Madhura,Snigdha,"Aggravates Pitta,Reduces Kapha",Monsoon,Guru,Pan-India,,"Coriander + Coconut,Cloves + Tea,Cinnamon + Milk","Joint health,Digestive aid",1 cup cooked
2281,Farm Fresh Yogurt,Farm Dadhi,Dairy,108.73846945472701,2.0417462714923493,0.0,4.387307834016733,1.0582542314759689,B2,"Potassium,Selenium,Copper,Calcium",Amla,Ushna,Amla,Laghu,Balances Kapha,"Autumn,Monsoon",Guru,"Pan-India,South India","Underweight,Kapha imbalance,Ulcer,Lactose intolerance,Allergy","Turmeric + Milk,Cloves + Tea","Liver support,Immunity enhancer,Constipation",1 glass
2282,White Barley,Yava,Grain,389.92571146958426,7.3743842543295814,73.23885595494184,5.523705591209224,3.194188376893848,"A,B1,C,B6",,"Lavana,Kashaya,Amla",Shita,Madhura,"Laghu,Teekshna",Balances Pitta,"All,Spring",Laghu,East India,,"Coriander + Coconut,Black pepper + Turmeric",Constipation,100g
2283,Wild Essence,Wild Churna,Spice,281.0465797632869,13.91928900473268,54.8032527390022,9.61753760416351,25.251897483485646,"B12,B1","Magnesium,Iron",Lavana,Shita,Madhura,"Laghu,Manda",Balances Vata,"Spring,Monsoon",Guru,"East India,North India","Ulcer,Acidity,Pitta imbalance","Cardamom + Tea,Turmeric + Milk","Cooling agent,Energy booster,Respiratory health",1g
2284,Organic Nuts,Organic Bija,Nut,616.729013250432,19.648165772700857,10.284889805227944,51.21064319305985,11.996236106404636,"B6,C",,Katu,Shita,Katu,"Guru,Teekshna","Reduces Kapha,Balances Vata,Reduces Vata",Spring,Laghu,East India,,Turmeric + Milk,"Digestive aid,Energy booster",1/4 cup
2285,Organic Cream,Organic Ksheera,Dairy,48.23946172265605,2.390797231304164,13.614332226885256,4.377811150103041,0.0,,"Iron,Copper,Potassium,Manganese","Kashaya,Amla",Shita,Amla,"Ruksha,Laghu","Aggravates Vata,Balances Pitta","Summer,Winter",Guru,South India,"Lactose intolerance,Kapha imbalance",Ginger + Honey,"Immunity enhancer,Anemia,Skin health",100ml
2286,Rich Yogurt,Rich Dugdha,Dairy,103.79984644451575,4.345606616074975,9.370954601575177,6.626195804189657,0.6227315930084321,"E,B1","Copper,Selenium,Manganese,Magnesium",Kashaya,Ushna,Madhura,Ruksha,"Balances Kapha,Aggravates Pitta,Aggravates Kapha","Summer,Monsoon",Guru,"West India,East India","Lactose intolerance,Kapha imbalance",Coriander + Coconut,"Immunity enhancer,Liver support",1 cup
2287,Wild Flower,Wild Shaka,Vegetable,59.96633685729776,0.40156845692611853,12.453291166911374,2.9886001100628445,2.7378503331124517,,"Magnesium,Phosphorus,Calcium,Selenium,Copper","Amla,Madhura,Katu",Ushna,Katu,Teekshna,"Reduces Pitta,Reduces Vata",Autumn,Laghu,Coastal,,Cumin + Rice,Stress relief,1 cup
2288,Wild Fruit,Wild Phala,Fruit,40.98199685793915,1.4177208673971702,19.18219017880697,3.2950495070081116,3.9860356678457416,,"Sodium,Potassium","Lavana,Madhura",Shita,Madhura,Manda,"Reduces Vata,Reduces Pitta,Aggravates Vata",Winter,Laghu,"Coastal,West India",,"Black pepper + Turmeric,Cumin + Rice,Milk + Ghee",Stress relief,1 cup sliced
2289,White Rice,Shali,Grain,355.1835156299321,7.857489649077994,65.16923430049786,6.737674869343671,4.189467159422598,"A,E","Potassium,Iron","Tikta,Lavana",Shita,Katu,"Manda,Teekshna",Balances Pitta,Autumn,Laghu,North India,,"Fennel + Mint,Coriander + Coconut","Immunity enhancer,Energy booster",100g
2290,Organic Nuts,Organic Kanda,Nut,627.5719432578749,19.617397432214513,14.174102726723575,52.89812773735054,10.78067365671091,"C,B6,B2,E",,Katu,Shita,Katu,"Snigdha,Ruksha","Balances Vata,Balances Kapha,Balances Pitta",Winter,Guru,North India,,"Turmeric + Milk,Cardamom + Tea",Weight management,handful
2291,Seawater Tuna,Jala,Fish,213.20106346111663,22.540245905494668,0.0,11.581922660811596,0.0,,"Selenium,Iron",Amla,Ushna,Amla,"Manda,Guru","Reduces Kapha,Reduces Vata,Balances Vata","Spring,Monsoon",Laghu,East India,,"Ginger + Honey,Fennel + Mint,Cumin + Rice",Constipation,100g
2292,Crystallized Honey,Madhu,Sweetener,389.0696744984782,0.7469642517870567,92.34649876155751,0.3396015824693486,1.928397042591003,,"Calcium,Potassium,Sodium","Amla,Madhura,Katu",Shita,Madhura,Laghu,"Reduces Kapha,Reduces Vata","Autumn,Monsoon",Laghu,Pan-India,"Hypertension,Diabetes,Obesity,Kapha imbalance",Cloves + Tea,"Energy booster,Skin health,Stress relief",1 tsp
2293,Grass-fed Beef,Grass-fed Mamsa,Meat,261.5351552613309,24.524608016546257,0.0,15.051648366016444,0.8278013291871176,"D,B3",Potassium,Katu,Shita,Amla,Laghu,"Aggravates Kapha,Reduces Kapha,Aggravates Pitta",All,Guru,"North India,Himalayan","High cholesterol,Heart disease",Cardamom + Tea,"Digestive aid,Immunity enhancer,Anemia",1 fillet
2294,Black Barley,Yava,Grain,386.3766739733761,9.88759111611068,77.21979183121678,4.8240299236615085,4.852647616440187,"B3,E","Manganese,Copper",Madhura,Ushna,Madhura,"Snigdha,Teekshna","Balances Pitta,Reduces Pitta",Monsoon,Laghu,Himalayan,,"Turmeric + Milk,Milk + Ghee","Skin health,Constipation",100g
2295,Cold-pressed Oil,Taila,Oil,893.1171368474421,0.0,0.0,104.23253794362338,0.8052620360621638,"E,A,K,B3",,"Amla,Lavana,Tikta",Ushna,Amla,"Laghu,Snigdha","Reduces Pitta,Reduces Vata,Aggravates Pitta",Winter,Guru,"West India,Coastal","High cholesterol,Kidney disease,Kapha imbalance,Obesity",Cumin + Rice,Energy booster,1 tbsp
2296,Baby Fruit,Baby Kanda,Vegetable,10.170172488140075,0.7908568676872734,13.685286574704357,4.667660922919675,4.419077064759293,,"Selenium,Phosphorus,Zinc","Madhura,Kashaya",Ushna,Madhura,Laghu,"Reduces Vata,Balances Pitta","Summer,Autumn",Guru,"South India,North India",,"Turmeric + Milk,Ginger + Honey",Energy booster,1 bowl
2297,Sour Berry,Sour Phala,Fruit,67.36345262226845,1.3046320710655563,23.139977939984824,0.0,3.384199374253751,,Calcium,"Amla,Kashaya",Ushna,Katu,"Teekshna,Manda","Reduces Vata,Reduces Pitta",All,Guru,"Pan-India,Himalayan",,Turmeric + Milk,Weight management,100g
2298,Golden Oats,Golden Godhuma,Grain,397.5577963456129,8.261908181078415,75.32580810861154,6.311056474412636,2.7587324738120547,E,"Magnesium,Calcium,Selenium,Zinc,Phosphorus","Kashaya,Madhura,Tikta",Ushna,Katu,"Teekshna,Snigdha","Aggravates Pitta,Reduces Vata,Balances Pitta","Monsoon,Spring",Guru,"West India,Coastal","High cholesterol,Acidity,Autoimmune condition","Turmeric + Milk,Cumin + Rice,Fennel + Mint",Immunity enhancer,1 cup cooked
2299,Wild Stem,Wild Shaka,Vegetable,17.66673196708927,0.7346772491336895,9.110044171229081,3.124032355223902,4.178028419640612,"B1,K,A,B6",,Lavana,Ushna,Amla,"Guru,Ruksha","Balances Kapha,Aggravates Kapha,Reduces Pitta",Monsoon,Guru,"Pan-India,South India",,"Cinnamon + Milk,Black pepper + Turmeric",Digestive aid,100g
2300,Organic Yogurt,Organic Dadhi,Dairy,24.79733330248667,2.1183370123469216,0.0,2.479535832717456,0.0,"B3,A","Selenium,Copper","Amla,Madhura,Kashaya",Ushna,Amla,"Guru,Teekshna","Reduces Vata,Reduces Pitta,Aggravates Pitta",Monsoon,Laghu,"South India,East India","Lactose intolerance,Kapha imbalance",Cinnamon + Milk,"Digestive aid,Joint health",1 glass
2301,Organic Cheese,Organic Ksheera,Dairy,41.20277633800418,4.374942861166975,7.74608491126094,5.098588669278868,1.4791642165552845,,"Zinc,Magnesium","Amla,Tikta",Shita,Katu,Manda,"Balances Pitta,Reduces Pitta,Aggravates Vata","Summer,Monsoon",Guru,Himalayan,"Lactose intolerance,Kapha imbalance",Ginger + Honey,"Joint health,Stress relief,Respiratory health",1 cup
2302,Ocean Salmon,Ocean Kacchap,Fish,183.09148630331808,23.378464787221922,0.0,11.681790215742218,0.0,"E,B6,C,K","Copper,Potassium,Magnesium,Zinc",Katu,Ushna,Amla,Guru,"Reduces Vata,Reduces Pitta","Monsoon,Summer",Laghu,Pan-India,,Fennel + Mint,"Energy booster,Joint health",100g
2303,Lean Beef,Lean Asthi,Meat,209.9289679481884,25.193883161472595,0.0,18.664268093938006,0.6007392786542565,,"Manganese,Copper,Sodium,Selenium",Lavana,Shita,Katu,"Laghu,Snigdha","Aggravates Kapha,Reduces Kapha",Summer,Laghu,Coastal,"High cholesterol,Heart disease","Black pepper + Turmeric,Coriander + Coconut",Weight management,1 fillet
2304,Free-range Chicken,Free-range Asthi,Meat,262.55156358890355,25.13426495688944,7.945030826803926,17.0393931280071,0.29547616657258347,,"Sodium,Copper,Calcium,Manganese,Selenium",Tikta,Ushna,Amla,"Laghu,Ruksha","Aggravates Kapha,Reduces Pitta,Aggravates Pitta",Spring,Laghu,Himalayan,"High cholesterol,Heart disease","Turmeric + Milk,Cinnamon + Milk","Energy booster,Joint health,Constipation",1 fillet
2305,Natural Syrup,Natural Madhu,Sweetener,401.8292912756233,1.5187628928407073,96.10018079174964,0.9001815366069434,1.7835367085798848,"A,B6,C","Selenium,Iron,Calcium,Manganese","Kashaya,Amla,Katu",Ushna,Madhura,Manda,"Balances Pitta,Balances Kapha",Summer,Guru,West India,"Diabetes,Obesity,Kapha imbalance",Black pepper + Turmeric,"Liver support,Immunity enhancer",1 tsp
2306,Extra Virgin Ghee,Ghrita,Oil,943.9311054409822,1.9257217556196515,3.0041679221405193,103.73301856934117,0.25154281346844265,"K,B12,B2","Copper,Manganese",Katu,Ushna,Madhura,"Guru,Ruksha",Balances Pitta,Autumn,Laghu,"East India,Pan-India","Underweight,Fever,Kapha imbalance,Hypertension,High cholesterol,Obesity",Turmeric + Milk,Constipation,1 tsp
2307,Free-range Chicken,Free-range Asthi,Meat,207.29297250441758,25.799365147163382,7.934909769221161,18.23311777064017,0.4020837751916566,,"Magnesium,Sodium,Zinc,Manganese,Copper",Madhura,Shita,Madhura,Ruksha,"Balances Pitta,Reduces Pitta","Autumn,Summer",Laghu,West India,"High cholesterol,Heart disease,Allergy,Infection",Milk + Ghee,Cooling agent,100g
2308,Split Peas,Split Chanaka,Legume,127.3062323118435,9.515730993123224,15.44355919770203,1.9780784642925093,8.465606703052764,B6,"Sodium,Magnesium,Potassium,Selenium","Amla,Tikta",Ushna,Katu,Ruksha,Reduces Vata,Spring,Guru,West India,"Bloating,Gas,Vata imbalance",Cumin + Rice,"Stress relief,Constipation",50g
2309,Farm Fresh Milk,Ksheera,Dairy,89.33087485009209,2.519193420917576,12.293982184466632,5.276935104411133,0.86310010928297,,"Copper,Selenium,Manganese,Sodium",Lavana,Ushna,Madhura,"Guru,Manda",Aggravates Vata,Summer,Laghu,"Coastal,Himalayan","Lactose intolerance,Kapha imbalance,Thyroid disorder,Infection",Cardamom + Tea,"Constipation,Energy booster,Joint health",1 glass
2310,Seawater Mackerel,Jala,Fish,245.01988479507645,22.546090714075945,0.0,12.10143642395166,1.495918167406821,,"Magnesium,Selenium,Sodium,Copper","Katu,Tikta,Madhura",Ushna,Amla,Ruksha,Aggravates Kapha,"Winter,Spring",Guru,South India,,"Turmeric + Milk,Fennel + Mint,Cloves + Tea","Liver support,Weight management",100g
2311,Baby Leaf,Baby Shaka,Vegetable,22.97822397016195,2.9303808463910306,0.0,4.913471839395992,3.9243474227203476,B6,Selenium,"Amla,Madhura,Katu",Ushna,Madhura,Teekshna,"Aggravates Pitta,Reduces Vata","All,Monsoon",Laghu,North India,"Fever,Obesity",Fennel + Mint,Digestive aid,1 bowl
2312,Red Barley,Yava,Grain,340.2605883314922,8.12182096910452,82.14382437022473,1.4689676707665027,2.636354163292772,"A,C,D",Manganese,Amla,Ushna,Amla,Laghu,"Balances Kapha,Reduces Pitta,Aggravates Kapha",Monsoon,Laghu,"South India,East India",Pregnancy,"Milk + Ghee,Turmeric + Milk,Cardamom + Tea","Anemia,Constipation,Weight management",1 cup cooked
2313,Golden Quinoa,Golden Godhuma,Grain,315.7665571089223,9.101376540768165,82.89781033856177,1.7003440752937449,3.207599737473,C,,"Lavana,Katu",Ushna,Amla,"Laghu,Snigdha","Reduces Kapha,Reduces Pitta","Spring,Winter",Guru,"North India,West India","High cholesterol,Lactation,Underweight",Coriander + Coconut,Digestive aid,100g
2314,White Wheat,Godhum,Grain,373.68254877803975,7.206870923545373,77.97630361338757,5.256996090502581,3.756890533039663,"B12,B6",Zinc,Lavana,Ushna,Katu,Laghu,Reduces Kapha,"Autumn,Summer",Laghu,Himalayan,,"Black pepper + Turmeric,Cardamom + Tea",Skin health,1 bowl
2315,Creamy Butter,Makkhan,Dairy,74.86268516801401,2.1205918452958024,0.0,3.7178818643567295,0.0,,"Phosphorus,Copper,Zinc,Calcium",Amla,Ushna,Katu,"Ruksha,Snigdha","Reduces Pitta,Balances Pitta",Monsoon,Guru,"West India,Himalayan","Lactose intolerance,Acidity,Kapha imbalance",Cloves + Tea,"Respiratory health,Cooling agent,Digestive aid",100ml
2316,Rich Cream,Rich Dadhi,Dairy,105.50684811091101,2.6451425134445024,0.0,7.625016921501051,0.0,"E,B12","Selenium,Phosphorus,Manganese,Potassium",Kashaya,Ushna,Madhura,"Laghu,Teekshna","Reduces Pitta,Balances Kapha,Reduces Vata","All,Winter",Laghu,East India,"Lactose intolerance,Kapha imbalance",Cumin + Rice,"Digestive aid,Liver support,Energy booster",1 glass
2317,Himalayan Essence,Himalayan Churna,Spice,337.0014801496143,11.147461028271596,67.04538845862042,5.208528394992916,24.631800275025604,,"Phosphorus,Potassium,Sodium,Iron",Kashaya,Shita,Madhura,"Ruksha,Manda","Aggravates Vata,Balances Vata,Aggravates Kapha",Autumn,Laghu,Coastal,"Ulcer,Acidity,Pitta imbalance","Milk + Ghee,Ginger + Honey","Immunity enhancer,Skin health",1g
2318,Sour Berry,Sour Falasava,Fruit,90.19024625162967,0.26853306222966367,11.386361465015698,2.6725028474896124,3.1467648175210723,A,"Manganese,Phosphorus,Iron,Zinc,Potassium","Lavana,Madhura",Shita,Madhura,Laghu,Aggravates Vata,Summer,Guru,West India,"Lactation,Heart disease",Cumin + Rice,Respiratory health,100g
2319,Whole Lentils,Whole Masura,Legume,121.46087739748538,10.796591419273227,17.951789219422743,3.933373459272948,8.940653566970475,"B2,K","Phosphorus,Copper","Tikta,Kashaya,Madhura",Ushna,Madhura,Guru,"Reduces Vata,Aggravates Pitta","Winter,Monsoon",Laghu,"West India,East India","Bloating,Gas,Vata imbalance",Ginger + Honey,"Joint health,Skin health",50g
2320,Red Chickpeas,Red Chanaka,Legume,135.70861713038806,9.479659134874359,14.033376377807219,4.233080659787276,8.987046909159087,,"Calcium,Phosphorus,Selenium,Sodium,Copper",Amla,Ushna,Amla,Guru,"Balances Vata,Reduces Kapha",Winter,Guru,"South India,East India","Vata imbalance,Pregnancy,Gas,Thyroid disorder,Bloating,Autoimmune condition","Coriander + Coconut,Cinnamon + Milk",Weight management,1/2 cup cooked
2321,Split Beans,Split Chanaka,Legume,127.74609054043219,8.055786129714864,15.35580007055146,5.386514842230106,7.634916497690196,"B3,B12,D","Sodium,Potassium","Kashaya,Katu,Madhura",Ushna,Amla,Snigdha,"Balances Kapha,Aggravates Vata,Balances Pitta",Summer,Guru,Himalayan,"Vata imbalance,Hypertension,Ulcer,Gas,Bloating,Autoimmune condition","Ginger + Honey,Turmeric + Milk","Digestive aid,Joint health,Anemia",1/2 cup cooked
2322,Fresh Flower,Fresh Mula,Vegetable,24.372113390961957,2.7032822325630272,7.826222128935816,0.1114502548069484,3.786201302555651,K,"Zinc,Selenium,Iron,Copper","Amla,Madhura,Katu",Ushna,Amla,"Teekshna,Snigdha",Reduces Kapha,"Autumn,Monsoon",Guru,"Himalayan,North India","Acidity,Diabetes,Thyroid disorder",Cinnamon + Milk,"Immunity enhancer,Weight management",100g
2323,Raw Syrup,Raw Madhu,Sweetener,381.78527115084773,1.0311521137679214,99.78463052297735,0.8358874091657158,0.5142439815189119,"B6,B1","Copper,Phosphorus,Manganese,Zinc,Iron",Kashaya,Shita,Amla,"Manda,Teekshna",Aggravates Pitta,"Monsoon,Autumn",Guru,South India,"Diabetes,Obesity,Kapha imbalance","Black pepper + Turmeric,Cumin + Rice,Milk + Ghee",Energy booster,1 tsp
2324,Organic Seeds,Organic Kanda,Nut,608.549938475921,19.525736895806357,24.898575078198235,51.27161797025789,11.002684739035585,"B3,C,B1,B2","Zinc,Sodium,Calcium",Lavana,Shita,Amla,Manda,Balances Vata,Monsoon,Guru,South India,"Lactation,Ulcer,Diabetes","Milk + Ghee,Cloves + Tea",Respiratory health,handful
2325,Wild Kernels,Wild Bija,Nut,593.4462717099807,20.150278005802278,21.430452189944816,49.84864846681142,10.4081900179611,"B3,B6,E","Magnesium,Zinc,Copper,Phosphorus","Katu,Lavana",Shita,Madhura,"Snigdha,Ruksha","Balances Vata,Reduces Kapha,Reduces Pitta",Spring,Guru,"Coastal,Himalayan",,Cumin + Rice,"Anemia,Energy booster",30g
2326,Bitter Melon,Bitter Falasava,Fruit,78.19575168433175,1.1433092865576924,18.210301599247554,0.0,2.748034754069069,,,"Tikta,Amla",Ushna,Amla,"Ruksha,Snigdha","Reduces Kapha,Aggravates Vata,Aggravates Kapha",Spring,Laghu,"South India,North India",,"Black pepper + Turmeric,Milk + Ghee,Coriander + Coconut","Digestive aid,Skin health",100g
2327,Organic Fruit,Organic Kanda,Vegetable,0.0,0.6769680258808364,13.416632415415219,4.50955198224345,2.1373465774540077,A,,Lavana,Shita,Amla,Ruksha,"Aggravates Pitta,Balances Pitta,Aggravates Vata","Monsoon,Summer",Laghu,East India,,"Cloves + Tea,Fennel + Mint","Immunity enhancer,Stress relief,Liver support",1 bowl
2328,Golden Oats,Golden Godhuma,Grain,390.734473579043,8.350443610536423,78.5567237479899,2.437044241811284,3.627025476785424,"B1,B12,B3,E","Sodium,Selenium",Katu,Ushna,Katu,Teekshna,Balances Vata,"Summer,Monsoon",Laghu,East India,,Milk + Ghee,Weight management,100g
2329,Organic Sugar,Sharkara,Sweetener,442.9795402503092,0.5219387348115725,94.54896764612114,3.0227867342946704,1.3818539522152613,,"Sodium,Magnesium,Zinc",Lavana,Ushna,Katu,Manda,"Reduces Vata,Aggravates Vata",Spring,Laghu,"Himalayan,North India","Diabetes,Obesity,Kapha imbalance","Cloves + Tea,Black pepper + Turmeric","Skin health,Stress relief",1 cube
2330,Raw Sugar,Sharkara,Sweetener,423.21835813393056,0.0,98.79912648265707,3.0652604627252176,1.635749198998758,,"Sodium,Calcium",Tikta,Shita,Amla,Snigdha,"Balances Kapha,Aggravates Vata","Monsoon,All",Guru,"East India,Pan-India","Diabetes,Obesity,Kapha imbalance","Ginger + Honey,Cumin + Rice,Fennel + Mint","Energy booster,Cooling agent",1 tsp
